Feature	Number of Connections
ZNF786	0
CXCL11	0
AC098848.1	0
ICOS	0
MAN2B1	0
TP53BP1.24	0
AC015911.11	0
hsa-miR-99b-3p	0
AL137785.1	0
TOMM22P5	0
MLLT10	0
AC004835.1	0
LAMA3	0
MYH8	0
TIGIT	0
AC093677.3	0
AC034198.1	0
KY	0
THRA	0
AL109924.2	0
C19orf38	0
SLC6A12	0
GATA6	0
AC244153.1	0
WDPCP	0
TASOR2	0
DTX3L.1	0
ESS2.1	0
SMTNL1	0
FEM1AP4	0
AP003027.1	0
HSD3BP2	0
NHS.5	0
FTO	0
AC092794.1	0
TMEM167B	0
PCNT.1	0
EGFR.2	0
WIPI2	0
IL1RAPL1	0
PRND	0
AC105343.2	0
MAP3K3.4	0
AC023512.1	0
ITGB4.15	0
AC006008.1	0
DENND2A.2	0
SPAG9.11	0
RBL2	0
AP002989.1	0
BDNF-AS	0
MYLIP	0
RHOT2	0
MAP1B.45	0
AC020895.1	0
TXNIP.1	0
SERBP1.2	0
PDLIM5.7	0
SNU13	0
SMPD4	0
FO681491.1	0
NCOA3.2	0
AP001476.2	0
LILRB1	0
ATP7A	0
DDX54	0
PRR12.15	0
CPA3	0
CD1D	0
ABCC10	0
AC124017.1	0
MIR1302-2HG	0
MYO1F	0
UNC5CL	0
ENPP7P6	0
AC007098.2	0
MCM9	0
CCNK	0
hsa-miR-6738-5p	0
TACC2.11	0
AKAP8P1	0
hsa-let-7b-3p	0
RABEP2	0
TAS2R42	0
TACR1	0
PADI4	0
ZNF407	0
PURB.1	0
POLR3E.1	0
AC093326.1	0
ST13P20	0
GATAD2A.3	0
AC010655.3	0
NRON	0
AC097450.1	0
AC110741.1	0
AC016595.1	0
DAPK3	0
STAG3L5P	0
MCRS1	0
AL355987.2	0
OR10G8	0
C4orf45	0
TBC1D5.10	0
AC005921.5	0
ARNILA	0
LRP11	0
HAPLN3	0
E4F1	0
AC107083.1	0
BCL11A	0
AP003497.1	0
AGAP1	0
AC138866.1	0
SAMSN1.3	0
RAB11FIP4	0
AC008871.1	0
LINC02834	0
PAFAH2	0
AC007066.1	0
MTOR	0
ZBTB26	0
ST3GAL2	0
LINC02448	0
BNIP3P38	0
AC027117.2	0
FFAR3	0
AC092610.2	0
DDR1-DT	0
RAP2B	0
AKR1B15	0
hsa-miR-5087	0
GFPT1	0
LY75	0
PVR	0
RXRA.1	0
DNM1P41	0
CCDC142	0
SIMC1	0
AC134879.2	0
PUM1.1	0
PACRGL	0
ACTL8	0
SIT1.2	0
AGRN.1	0
hsa-miR-6799-5p	0
ZRANB2.3	0
SNX15	0
ZIM2	0
NUTF2P3	0
PIP4K2A	0
RN7SL344P	0
GAGE12E	0
AC022916.1	0
CD38	0
DBNL	0
GNAZ	0
ARHGEF2.12	0
BLCAP	0
AC098935.2	0
AC119751.1	0
AC008734.1	0
LRCH4.6	0
AC105137.1	0
CLIC2	0
PDCL3P5	0
CPM	0
AC015911.7	0
BACE1-AS	0
ZNF326	0
LYSMD1	0
PDE1A	0
CHMP4B	0
SLC25A3P2	0
AC025423.1	0
PSMB5	0
SULT2B1.1	0
SPOUT1	0
AC018628.3	0
PITPNA	0
AC021205.1	0
CHRM3	0
AC008558.1	0
DSG1-AS1	0
AIFM1	0
hsa-miR-6804-5p	0
AL133551.1	0
AL008635.1	0
ARHGEF2.20	0
AC011195.3	0
EEF1GP2	0
OR9Q1	0
NUP153.4	0
LAD1.18	0
SPRY4	0
MORC2.1	0
ACIN1.18	0
TFPI2	0
DCUN1D1	0
ARHGEF10L	0
CD300A	0
PPP1R12B.2	0
EEF2.2	0
MDK	0
SLC27A3	0
HAUS5	0
PRRC2A	0
AP001767.2	0
NEFM.2	0
MAZ	0
LAMB3	0
LINC00051	0
KCNA6	0
AC097658.2	0
TPT1P1	0
hsa-miR-6777-3p	0
CADM3-AS1	0
RBISP2	0
AC067852.2	0
AC016396.2	0
DKC1.2	0
RIC8B	0
NUP98.8	0
RASSF4	0
AP000552.4	0
AC020904.1	0
TRIM32	0
AC068888.2	0
SF3A1.2	0
AL133346.1	0
BX537318.1	0
PPIG.12	0
CTAGE8	0
EDNRB	0
MYCBPAP	0
AC006213.1	0
CC2D1A	0
SOX15	0
CTSL	0
NUP54	0
FXYD6P1	0
NCR1	0
FOXK1	0
AC023274.1	0
AGFG2	0
RAB3IP	0
RN7SL539P	0
TGIF1.3	0
AL353748.2	0
ARHGAP15.2	0
CARMIL3	0
LMTK2.1	0
AC010857.1	0
AL355836.4	0
MICALL1.13	0
AC243562.2	0
AL365318.1	0
ICE1	0
ITGA9-AS1	0
LRRC1.1	0
CEBPB	0
SLC4A4.14	0
SNX4	0
RIOX2	0
KIAA1958	0
AC093155.3	0
EXD3	0
AC022596.2	0
AC073517.1	0
AC016747.1	0
DMWD.1	0
MNX1.1	0
ALPK1	0
AL031737.1	0
BMS1P4	0
AC091685.1	0
UTP4	0
AC087884.1	0
GNS	0
HCST	0
LMAN2L	0
TRAPPC10	0
PRIMPOL	0
MAP1B.33	0
FAM71A	0
ACIN1.15	0
CRYBG3	0
SLC26A1	0
LINC01228	0
RPL41P5	0
SYNPO2.56	0
CRTAM	0
ZNF619P1	0
LINC02568	0
ERLEC1	0
MAPK6P1	0
MGST3	0
NAP1L4.4	0
OR51AB1P	0
hsa-miR-6508-3p	0
AL157996.1	0
IGKV1-5	0
AC069540.2	0
OR2B2	0
NOP58	0
AL122003.1	0
AC060766.6	0
TAS2R9	0
VPS26B	0
ZBTB46-AS1	0
PDIA6	0
ABTB2	0
SLC25A51P3	0
AC090531.1	0
PSMG4	0
AP005380.1	0
MRPL34	0
CD84	0
FAM71C	0
MAP1B.42	0
PRKDC.7	0
DRC7	0
PTPN2P2	0
RNA5SP199	0
MBOAT4	0
AC110801.1	0
hsa-miR-5190	0
AC006042.3	0
PAK1.8	0
MLN	0
TCL1B	0
RPL17P44	0
ZNF384	0
ZNF696	0
SAFB2.2	0
RSBN1	0
AC096708.1	0
AC113382.2	0
ASB13	0
TPSAB1	0
IGHVII-44-2	0
TBC1D4	0
SP1	0
PREX1.1	0
AC006116.5	0
LAX1.1	0
AC023283.1	0
UBE2O.6	0
RGL1.1	0
AL109936.3	0
AL022341.2	0
PNISR	0
RPS15AP28	0
RING1.1	0
KIAA1671.4	0
hsa-miR-4800-5p	0
DSP	0
LINC02633	0
AL121933.2	0
PUM1	0
SEC14L1	0
TGIF1	0
TCEA1.2	0
AC090921.1	0
DACH1	0
AC091826.3	0
CSF1R	0
REPS1.22	0
VSNL1	0
FAM83G	0
CCAR1	0
LINC01925	0
SH3GL2	0
EVI5L	0
AC008154.2	0
AC135048.1	0
AC092159.1	0
UBD	0
ZNF209P	0
HSP90B1.3	0
SEPTIN6	0
CDH4	0
BLMH	0
MTSS2.3	0
AC073111.4	0
AL512791.2	0
PRICKLE2-DT	0
NECTIN1.1	0
MYCT1	0
WLS.1	0
C10orf120	0
AC027682.2	0
SNX6P1	0
ZBED1	0
TP53BP1.29	0
SRRM2.80	0
ANKRD52	0
NEK9.12	0
ZNF141	0
AC090505.1	0
PDK4	0
PSPN	0
ZNF641	0
PICALM.1	0
SULT2B1	0
AC092653.1	0
PNOC	0
WDR37.1	0
SP110.2	0
RSC1A1	0
PCNT	0
AC092353.1	0
SPSB3	0
B4GALNT3	0
LINC00424	0
hsa-miR-3122	0
KAT7.7	0
EZH2	0
AC124242.2	0
CICP11	0
AC138907.8	0
GTPBP2	0
C2CD5.9	0
RPL26P9	0
PARG.3	0
AC007998.3	0
ZDHHC20P1	0
ABLIM2	0
PLCD3.2	0
CEP131	0
HLA-DPA2	0
PHF3.4	0
MTRNR2L2	0
AC026787.1	0
RPL21P12	0
AP002833.3	0
RBM12	0
SUMO2P13	0
MKNK2	0
LINC01204	0
ICE1.8	0
ANKS3	0
NUCKS1.10	0
DUX4L34	0
PDE6B	0
SLC8A1-AS1	0
SFPQ	0
AC073210.2	0
LYSMD2	0
ZNF804B	0
ART5	0
SCAF8	0
AL080317.2	0
SLC4A4.15	0
GPR6	0
RPL7P42	0
CBX8.1	0
RPL23AP86	0
AC091057.3	0
AL807752.3	0
IKBKB	0
AC024940.6	0
POM121C.2	0
DNAJA3	0
SLC22A13	0
MIER2	0
AL355838.1	0
CTU1.1	0
NT5E	0
ZNF517	0
AL645939.6	0
SORT1	0
hsa-miR-4529-3p	0
AC026108.1	0
WRNIP1	0
ZSWIM4	0
AC138150.1	0
RPL10P10	0
AL627311.1	0
METTL3.2	0
AC068418.2	0
RRP8	0
AL807752.7	0
DNTT	0
TRBVB	0
MEF2A.1	0
TNS1.67	0
SCARNA9	0
DPYSL3.10	0
GPSM2.2	0
LINC00629	0
hsa-miR-1306-3p	0
MDH2	0
AP002892.2	0
hsa-miR-653-3p	0
RPL35P4	0
AC022144.1	0
AL031005.1	0
CCDC88C.1	0
PRUNE1.2	0
AL158063.1	0
TRAPPC5	0
AC244093.2	0
AC234781.4	0
GAL	0
YEATS2.1	0
BOP1	0
RPTOR.4	0
MTCO1P23	0
AARS1.1	0
NKG7	0
TNKS1BP1	0
FNDC8	0
AC145207.5	0
EPN3	0
RPS3AP30	0
AC025434.1	0
AC025260.2	0
CXCR4	0
hsa-miR-133a-5p	0
GPAT4	0
KIF18B	0
AP005059.1	0
AC016735.1	0
TNS3.11	0
PTGES3P1	0
ERCC2	0
AC090004.2	0
PUF60	0
RNU1-73P	0
PPP1R13B.1	0
SUGP1	0
PLXNC1	0
PKN1.2	0
DMXL2	0
AL441992.1	0
AC006296.2	0
TAP1.1	0
AC073218.1	0
UCK1	0
LDAH	0
ITGB4.5	0
MED22	0
F10	0
KIF13B.9	0
RNF144B	0
DLGAP4	0
KIAA1210	0
AP002957.1	0
CDK12.23	0
TRMU	0
PA2G4	0
SELENOM	0
AL031123.4	0
hsa-miR-4763-5p	0
AC104763.2	0
FLT3	0
USP8P1	0
ALX1	0
PDLIM4.4	0
CCR1.1	0
PARP10.2	0
RBM15B.12	0
ZNF600	0
AC093426.2	0
FBXO31	0
SNORD13D	0
AC025884.1	0
AC135983.2	0
ZMYND15	0
KHSRP.1	0
DPEP2	0
CD79A	0
CDKN2AIP.2	0
Z85996.2	0
MAP4.17	0
MVK	0
SF3B1.18	0
SFT2D3	0
TONSL.1	0
DNAJC16	0
AL137783.1	0
CALD1.18	0
KIT.1	0
AC092608.3	0
C1orf232	0
ADD3.1	0
RPL7P53	0
PPIG.10	0
HMGN2P34	0
AC104248.1	0
AC004817.2	0
COMMD2	0
LARP4B	0
AL391666.1	0
MAP3K4.4	0
PLCB2	0
CASP16P	0
LINC02147	0
NCBP3.1	0
AC026336.2	0
NAALADL1	0
HDGF.8	0
POU3F2	0
LINC00534	0
AC022211.5	0
BIN3	0
DPH1	0
KRTAP5-1	0
AC007381.1	0
HLA-E.1	0
IMP4	0
PMPCAP1	0
AC096917.1	0
AC073964.1	0
TOM1.4	0
AP001831.1	0
IGLV3-19	0
IGKV2-14	0
AC025682.2	0
hsa-let-7i-3p	0
HIVEP1.3	0
GBP4	0
FAM102A.2	0
C1orf54	0
AC006116.1	0
YBX1P3	0
LINC02142	0
KRT18P61	0
TMEM54	0
ADAMTS3	0
AC090971.7	0
ARHGAP4.1	0
ATG7	0
NCF2	0
EPHX2	0
TRIM55	0
DDX43	0
NUCKS1	0
LIN7B	0
AL137018.1	0
PLEKHM2	0
AC136604.1	0
CDH20	0
FGD2.1	0
PWWP2A	0
CCR8	0
AC097724.1	0
C3orf85	0
SNX18P23	0
MTND6P17	0
CRISP2	0
AL162574.1	0
IL6-AS1	0
RTP5	0
PKP2.8	0
BRF1	0
AP000711.1	0
TOM1L2.1	0
FHDC1.1	0
BEND3.1	0
PRAMEF34P	0
PSD3	0
ADH1B	0
NIBAN2.1	0
AC067945.1	0
IQCF1	0
ZFP41	0
AC016526.3	0
OTOS	0
PPME1	0
GOLIM4	0
AC008013.1	0
LINC02520	0
FNBP1L.3	0
ANKRD66	0
LINC01127	0
FP325318.1	0
PHLDB1.27	0
CCHCR1	0
AL035252.3	0
IL33	0
LRRC15	0
TNS3.14	0
HCP5	0
MSC-AS1	0
TBP	0
GRAP2.1	0
FLNA	0
NPAP1P4	0
LMO7-AS1	0
SETP4	0
AC004862.1	0
AC122713.2	0
IRF2BP2.4	0
BAG4.1	0
AL109809.1	0
AL358075.1	0
SFTPB	0
AC131935.1	0
PLEKHA5	0
ACTG1	0
AC215522.3	0
CAPG	0
ISG20	0
AC010424.3	0
AC012615.6	0
AP000553.2	0
ALKAL1	0
FILNC1	0
AC026353.1	0
SPNS3	0
LINC01692	0
REXO1.5	0
HLA-DMA	0
ANKRD44.1	0
CNRIP1	0
AC079140.5	0
LINC02873	0
MOXD1	0
RN7SL356P	0
VSIR.3	0
DOCK1	0
USP42.3	0
RN7SL509P	0
FARP2.2	0
TJAP1	0
AC099344.2	0
EPS8	0
RASA3-IT1	0
AL445466.1	0
AC005323.2	0
APOBEC3F	0
ZNF362.2	0
DTHD1	0
ACKR3.2	0
SESN3	0
GMPPB	0
CNTNAP2-AS1	0
FYB2	0
hsa-miR-3202	0
PPP1R16B	0
LINC01937	0
AFDN-DT	0
AP002755.1	0
TPRN	0
STAT5A	0
RAB29	0
BEND7	0
FBXO6.1	0
CETP	0
COX6CP3	0
AC183088.3	0
HUWE1.26	0
hsa-miR-4664-5p	0
AC007686.4	0
RN7SL556P	0
CYSRT1	0
LRRC3C	0
FP236383.8	0
SPATA5	0
PRSS3P3	0
NPL	0
PTGES3P2	0
CABYRP1	0
TRA2A.5	0
CCDC13-AS1	0
LRRC18	0
SDC1.1	0
FBXO6.2	0
AC092810.3	0
AL355574.1	0
MLPH.4	0
AC253536.4	0
PBX2	0
CYSLTR2	0
TMEM156	0
CCL21	0
DUTP8	0
CD163	0
HAL	0
hsa-miR-933	0
ICAM1	0
SHROOM1	0
LINC00365	0
AL365436.2	0
FOXP4.3	0
LINC02564	0
SAMSN1	0
SRCIN1	0
AL353804.7	0
CLPTM1	0
SSPN	0
MILR1	0
LINC02207	0
AC026117.1	0
KDM3A.1	0
BAIAP2L2.8	0
FAM182B	0
AC063977.1	0
CREBZF	0
OR2K2	0
TMEM147-AS1	0
GPR65	0
WDR62.7	0
SPECC1P2	0
ZNF579	0
AL390755.1	0
SSBP3P1	0
PURB.2	0
GPAT2	0
PLEKHG3.3	0
C7	0
CDC14B	0
CALCR	0
hsa-miR-6820-5p	0
ELF3.1	0
UBR4.20	0
DGCR10	0
FAM66A	0
UGT3A1	0
hsa-miR-146a-5p	0
NES.15	0
ARHGEF3	0
LIN52.1	0
AC007403.1	0
LINC01727	0
ZNF446.1	0
AC006128.1	0
FAM107B	0
IGLC4	0
NUGGC	0
RBM39.5	0
AL442635.1	0
AC021087.3	0
AL365361.1	0
PCK1	0
AC104187.1	0
DCTN3	0
SEPTIN1	0
SRSF7.2	0
OR6V1	0
CAVIN2.24	0
DNAJB8-AS1	0
AL589645.1	0
GOLGA2P10	0
KIDINS220.7	0
FASN.3	0
TFEB	0
AC131280.1	0
KIFC2	0
MVB12A.2	0
LINC01743	0
AC103702.2	0
ZNF628	0
ADD1.1	0
TCN2	0
SPATA13-AS1	0
SHB.2	0
FAM74A6	0
SPAG11B	0
RIMKLA	0
MIR22HG	0
AC017037.3	0
VAPA.1	0
TUBBP6	0
RNU4ATAC4P	0
TPM3	0
AL109936.2	0
CDH17	0
PDE5A.2	0
AP001453.5	0
AHNAK.175	0
TAS2R10	0
ATF2.4	0
ARHGEF28	0
NFKBIE	0
RCSD1.8	0
AC107956.1	0
UBA2.3	0
AC138409.2	0
GRM7-AS1	0
VIPR2	0
AP000944.1	0
MROH1	0
TRAF2.1	0
GTF2IP9	0
BLVRA	0
AC009163.5	0
RPL21P121	0
CARD19	0
AMER2	0
PTPRK	0
UBA7	0
SFXN4	0
AC007406.4	0
CSK	0
ARHGEF17.31	0
HEPH.2	0
UBL7	0
FAM117B.14	0
ATP6V1B1-AS1	0
MPHOSPH10.1	0
LINC00944	0
LINC02874	0
HNRNPA3	0
LINC01857	0
P2RY14.2	0
SMARCAD1.6	0
PHACTR4.3	0
RRAGD	0
MTAP	0
AC090692.2	0
AC074117.1	0
BRD2	0
AC087379.1	0
LINC01299	0
Z69733.1	0
NUP153	0
AL391730.2	0
HIP1R.1	0
COL18A1-AS1	0
VSTM2A-OT1	0
GRAMD1A	0
AC011477.1	0
DNAJC19	0
AC005515.1	0
GZMH	0
GATAD2A	0
ABHD2	0
AL109829.1	0
CLEC12B	0
TENT5C	0
NCOA5.3	0
SND1.1	0
AC068286.2	0
RCE1	0
AP001783.1	0
RIC3	0
AC004696.1	0
HARS2	0
SLCO2B1	0
AC091932.1	0
FGFR4	0
AC104126.1	0
IGKV6D-21	0
METTL14	0
GYG1P2	0
KIR2DS4	0
BET1L	0
ZEB2	0
LINC02312	0
LEMD1-AS1	0
hsa-miR-4754	0
FAM86C1	0
PLPPR3	0
TAP2	0
CCDC97	0
NUP98.22	0
MDC1.17	0
AC027667.1	0
INPP5E.2	0
DOCK11	0
AC009166.1	0
AC023510.2	0
XPNPEP2	0
NPM1P29	0
TBX3.3	0
Z94721.2	0
RASAL2.8	0
WARS2	0
AC099518.1	0
SLC17A2	0
LINC02163	0
SREK1.2	0
AP002528.1	0
PRKAR2B.1	0
AC139451.1	0
IRF2BP1.3	0
hsa-miR-3074-3p	0
SPTBN1.26	0
AC135068.1	0
BST1	0
AC142381.2	0
CLMP	0
BCL11A.1	0
hsa-miR-6878-3p	0
AL627309.1	0
AGPAT3	0
AC012358.3	0
BAMBI	0
PHKA2	0
ANKIB1.2	0
AC107220.1	0
AC015911.5	0
SSBP4	0
INO80B	0
LINC01994	0
FRMD8P1	0
NES.13	0
TMC2	0
TACC1	0
SFTPD-AS1	0
AC100793.4	0
AC010997.1	0
DBF4P3	0
PLEKHA7	0
SNTB1.2	0
TRIM5	0
RN7SL753P	0
CLEC1A	0
AC115619.1	0
MED17	0
RPL13AP2	0
RNPS1	0
PHACTR4.1	0
SLC52A2	0
SYNJ2.1	0
GRIP1.2	0
NUFIP1P1	0
ZNF318.1	0
hsa-miR-520h	0
DAB2IP	0
hsa-miR-412-5p	0
ANK2-AS1	0
SOX9-AS1	0
LCP1.2	0
IFNL1	0
NBEAL1.3	0
LINC00415	0
TRBV11-2	0
GYS1	0
CAMK2G	0
AC091925.2	0
KRT16P6	0
AC007513.1	0
TFAP4.1	0
ME2P1	0
NAA60	0
AL450336.1	0
GRTP1	0
AC023796.1	0
ALPK3	0
AC089999.3	0
ERBB3	0
AL356596.1	0
NELFA.3	0
GPATCH8.1	0
EEF1AKMT4-ECE2	0
RASSF7	0
UBAC2	0
RNA5SP129	0
AC008592.4	0
AC025884.3	0
AC008443.1	0
AC010326.3	0
C1QB	0
SLC25A16	0
AC078818.1	0
NOTCH2NLA	0
YBX2	0
hsa-miR-1293	0
TCAF2	0
AP003355.2	0
MAPK6P4	0
THOC2.1	0
TANC2.3	0
recurrence_target.4	0
MLLT6	0
PLA2G2D	0
ZNF326.1	0
AC093802.2	0
LSM11	0
ADD3.6	0
ZNF446	0
LINC01849	0
CAPN11	0
LSR.1	0
WASH2P	0
FADS1	0
PPFIA1	0
hsa-miR-4284	0
AL049733.1	0
CCDC61	0
ATP7B	0
AANAT	0
AC063938.1	0
ELL2P1	0
OTOGL	0
RPS2P5	0
HLA-DQA1	0
HMGN3.2	0
AC008464.1	0
CDC23	0
hsa-miR-129-2-3p	0
TSSK6	0
AGAP12P	0
AL512643.2	0
KLHL22	0
PAG1.8	0
AC018761.4	0
KLC2.2	0
AC015908.3	0
MTMR10	0
AC128709.2	0
CHST15	0
TAS2R41	0
AC013724.1	0
TSSC4	0
LINC02278	0
GATD1	0
AC007598.1	0
MYRFL	0
LCE1E	0
SLC23A3	0
H2BC14	0
ZFP62	0
AC234778.1	0
SLC35E4	0
CCDC152	0
RPS6KA1.4	0
SNX18P2	0
AC110597.3	0
CXADR	0
AC092140.1	0
PRELID3BP8	0
AC093462.1	0
BRINP2	0
hsa-miR-4692	0
USP42.7	0
AC008050.1	0
APLP2.1	0
PRCC.1	0
ITPKB	0
TOP1MT	0
UBE2T	0
AL513475.2	0
AL645933.5	0
EIF4A2P4	0
AL136169.1	0
GIMAP3P	0
LINC01355	0
AC008878.3	0
HPX	0
DOCK10.10	0
RNF139	0
AC113391.2	0
RGN	0
VEGFA	0
AL136084.2	0
SMARCC2.2	0
KCNJ2-AS1	0
CDH12P2	0
AC013553.4	0
AC068775.1	0
DLG2-AS2	0
TGIF2	0
AC073941.2	0
CD2	0
PRCD	0
TRIM33	0
ABR	0
BZW1-AS1	0
IMPACT	0
CCR4	0
DOCK11P1	0
FADS2	0
DPYD	0
AC092171.4	0
AL590235.2	0
CARD18	0
XPO5.1	0
C10orf71-AS1	0
TNRC18	0
AC090572.3	0
AC083967.1	0
ZNF622.1	0
NEXMIF	0
ARC	0
RHPN2.2	0
SNTB1.3	0
ETF1	0
KIFBP	0
CES5A	0
PABPN1L	0
MAP1B.41	0
RALY	0
AL138767.2	0
ADPGK	0
AL445363.1	0
AC092608.1	0
FXYD2	0
CPSF2	0
BAP1.4	0
METTL7A	0
TASOR.8	0
SLC1A4	0
hsa-miR-1914-3p	0
SRRM2.20	0
ITGB4.1	0
C8orf44	0
YTHDC2.1	0
CHRAC1	0
RBM33	0
PABPC5	0
SPDYE22P	0
GSG1	0
SAMSN1.1	0
ERO1B	0
ANKRD10	0
ALDH5A1	0
USP9YP2	0
DPP4-DT	0
GTF3C2	0
SERPINB2	0
NCOA2.2	0
ARHGEF6.2	0
AL136307.1	0
TPRG1L	0
hsa-miR-1226-3p	0
ANKRD20A18P	0
ROCK1.2	0
HNRNPA1P25	0
NDUFA5P3	0
TOPAZ1	0
HNRNPA3P16	0
hsa-miR-3614-3p	0
MTHFSD	0
GPRC5A.2	0
STRN4	0
AC138811.1	0
CTSLP6	0
ITPRID2.31	0
CDK10	0
PILRB	0
OR5AZ1P	0
RPS6KA4	0
HORMAD1	0
hsa-let-7i-5p	0
SYCP1	0
hsa-miR-521	0
SSX1	0
CPA5	0
PI15	0
survival_target.3	0
AL121974.1	0
SCAMP4.1	0
CCDC92	0
CHCHD6	0
SERTM1	0
AL353743.1	0
TDRKH	0
AL450384.2	0
HNRNPA2B1.11	0
HSP90B1	0
POF1B.2	0
A2ML1	0
GPRIN1.2	0
AC011228.3	0
PARP16	0
PTP4A3	0
PML	0
HNRNPU	0
LRBA.2	0
MIR555	0
SEMA4B.4	0
CASS4	0
AC009065.5	0
AC027514.1	0
TRAV26-1	0
TMEM63B	0
PRRC2A.17	0
GPR42	0
AL138694.1	0
FAM9A	0
AC078883.2	0
NFATC2.6	0
AC090510.3	0
AC005304.3	0
IRF2BPL.9	0
AC078814.2	0
FGF2	0
CMC2	0
AL356737.1	0
RBMX.4	0
AC011726.3	0
AL354754.1	0
SLC2A10	0
JPT1	0
PSMC1P11	0
SUGP2	0
AC096577.1	0
AL078587.1	0
METAP1	0
ADAMDEC1	0
RPS2P15	0
PPFIA1.1	0
hsa-miR-7113-3p	0
PTMAP2	0
ZNF831	0
AC006254.3	0
RBM26.2	0
AC107896.1	0
AC004554.2	0
OSBPL10.1	0
NUMA1	0
LINC01856	0
RREB1.5	0
OR6C66P	0
OR1L8	0
PPP1R2	0
CPSF2.2	0
AC026888.1	0
KYNU	0
AC021723.2	0
AL390023.1	0
YTHDF1	0
NOC4L	0
AL591428.1	0
AL159996.1	0
FAM135B	0
OR4D1	0
CCDC182	0
BOD1	0
ARHGAP23.3	0
AC091825.3	0
AC008751.3	0
AL355433.1	0
TRBV14	0
AL161663.2	0
SFMBT2	0
AL772307.1	0
EIF4ENIF1	0
AC107905.1	0
WDR74	0
AL590138.1	0
DRAXINP1	0
SEPTIN7P2	0
MON1B.2	0
survival_target.2	0
TMSB10	0
MRGPRF-AS1	0
HOXB8	0
TCF20.6	0
PTGES3.4	0
ZNF385C	0
AC108477.1	0
DHFRP2	0
AC115284.1	0
SPATA3	0
TMEM106A	0
ABCA8	0
AC097374.1	0
SPIDR	0
ZNF48	0
AL355312.5	0
INO80E.1	0
ZBTB11	0
RN7SK	0
AC005521.1	0
TOPORS	0
CTIF.2	0
KLK5	0
CD8B	0
CUX1	0
FGFRL1	0
SLC7A5P1	0
HDHD2	0
RC3H1-IT1	0
RBM10	0
AL132655.6	0
MARCKS.13	0
TCF3	0
SERTM2	0
HNRNPL.1	0
ATP10D	0
PTPRC.1	0
AC073342.1	0
WNT6	0
MLNR	0
CAV2.1	0
AC110809.1	0
AC026427.2	0
SMARCA2.1	0
COL4A3	0
OPRL1	0
WIZ	0
UBA5	0
EML3	0
GAPDHP58	0
TMUB1.1	0
POF1B.4	0
MICALL1.9	0
STX17	0
LMNB1.8	0
AC092604.1	0
FTL	0
NFATC1	0
ACIN1.23	0
PHRF1	0
IRF2BP1.4	0
hsa-miR-1908-5p	0
AC005225.1	0
INO80.2	0
AC015802.5	0
TNFAIP8L3	0
R3HDM1	0
AC112482.2	0
FCRL1	0
PDS5B.1	0
CRHR2	0
SELENOV	0
COL6A5	0
CR2	0
WDR33	0
AC118282.3	0
RPS18P12	0
AC099552.1	0
LINC00973	0
PPIAL4H	0
MARK2	0
SRSF6	0
MARCKSL1.8	0
AC084024.2	0
AL671710.1	0
FFAR3.1	0
AC091046.2	0
MAST3.7	0
AL450998.3	0
TAS1R2	0
AC096745.1	0
FAM168B	0
EML4.4	0
CTSG	0
HRNR.2	0
PRKD3	0
LFNG	0
PLEC.27	0
RECQL4	0
SPAST.1	0
SYTL4.1	0
ATXN7L3.1	0
AC107909.2	0
PPM1H	0
ZSCAN25	0
ARID1B.1	0
AC010327.5	0
TNFRSF13B	0
hsa-miR-503-5p	0
GPR142	0
CNN2P6	0
AL133405.2	0
PNN	0
AC093763.2	0
MPI	0
AC087894.1	0
BAZ2B	0
PRKRA	0
AC034231.1	0
SLC6A14	0
TUSC2P1	0
RCSD1.12	0
AC007384.1	0
RN7SKP259	0
ARHGAP25.5	0
CNN3.2	0
PAEP	0
SIRT7	0
hsa-miR-4286	0
CHD7.2	0
PSAP.1	0
SPECC1	0
WDR89	0
COL1A2.1	0
CLEC10A	0
PLEC.58	0
TRBV6-7	0
MECOM	0
MAP1LC3C	0
DRAIC	0
CYP4F3	0
PLEKHF1	0
VIL1.8	0
ZCCHC18	0
KIF20B	0
UGT2B29P	0
TECR	0
hsa-miR-5589-3p	0
EEF1A2	0
AP000542.1	0
MZB1	0
SPEG.14	0
ARF4.1	0
IGKV2-40	0
LINC02702	0
hsa-miR-27b-3p	0
IGKJ4	0
TPP1	0
FLNA.64	0
HNRNPUL2-BSCL2	0
AC105391.1	0
XAF1.1	0
LEMD3	0
ARAP1	0
LINC02343	0
IL4I1.1	0
AP006216.3	0
CHD7.3	0
AL158050.1	0
CRYM	0
RALBP1.2	0
AGPAT1	0
AC104771.1	0
SETP9	0
TLN1.22	0
AC073487.1	0
IGHV3OR16-11	0
ITGB4	0
TRIM39	0
LYST	0
FAM78A	0
TM6SF1	0
AC018445.5	0
hsa-miR-342-5p	0
EVL	0
NOS3.5	0
PPIG.6	0
AC096576.2	0
AC053513.1	0
PIAS1	0
RBM33.1	0
AC091905.1	0
TAF1C	0
AC091912.3	0
DTX3L.4	0
SSXP10	0
PLCL1	0
ARHGAP9.2	0
RPS6KC1.2	0
MVB12A.1	0
AL592464.1	0
FTH1P3	0
SIK2.1	0
JCAD.16	0
RBBP6.17	0
KARS1P1	0
VTI1BP1	0
ISCU	0
NMI	0
AL139390.1	0
CACNG6	0
YY1	0
TEKT4P3	0
CTSV	0
PLEKHG6	0
AC090820.2	0
KRTAP2-2	0
AP003352.1	0
LINC02017	0
